day,country,news_count,avg_tone
2025/4/29,CN,41,-0.651516041
2025/4/29,UK,120100,-0.394064216
2025/4/29,US,524835,-0.930533839
2025/4/3,CN,58,-1.403049198
2025/4/3,UK,112111,-0.56724387
2025/4/3,US,656127,-1.383145571
2025/4/30,CN,137,0.1416519
2025/4/30,UK,114875,-0.467490682
2025/4/30,US,549634,-0.8797895
2025/4/4,CN,48,-0.628343732
2025/4/4,UK,118285,-0.937017792
2025/4/4,US,561083,-1.362610682
2025/4/5,CN,19,1.848987761
2025/4/5,UK,71457,-0.334542854
2025/4/5,US,364815,-1.659664664
2025/4/6,CN,11,0.976848681
2025/4/6,UK,73249,-0.565172455
2025/4/6,US,327086,-1.964650847
2025/4/7,CN,31,-2.380944585
2025/4/7,UK,103421,-0.70315983
2025/4/7,US,518907,-1.429396085
2025/4/8,CN,44,-2.449153115
2025/4/8,UK,113387,-0.138873879
2025/4/8,US,581198,-1.127417798
2025/4/9,CN,86,0.042510139
2025/4/9,UK,118503,0.021600516
2025/4/9,US,602799,-1.156781242
2025/5/1,CN,50,0.152066089
2025/5/1,UK,108599,-0.195510089
2025/5/1,US,522035,-0.688641794
2025/5/10,CN,39,2.182051532
2025/5/10,UK,73289,0.117224077
2025/5/10,US,279376,-0.862098328
2025/5/11,CN,6,0.614621949
2025/5/11,UK,66341,-0.218668415
2025/5/11,US,218642,-0.477359501
2025/5/12,CN,27,1.004988507
2025/5/12,UK,101998,-0.531580485
2025/5/12,US,427836,-0.565898196
2025/5/13,CN,14,1.411398862
2025/5/13,UK,99523,-0.309686716
2025/5/13,US,490135,-0.556209585
2025/5/14,CN,55,-0.273897581
2025/5/14,UK,93111,-0.038617696
2025/5/14,US,497124,-0.76067527
2025/5/15,CN,28,-1.560181089
2025/5/15,UK,99708,-0.242880371
2025/5/15,US,500753,-0.677802742
2025/5/16,CN,58,4.605558092
2025/5/16,UK,102646,-0.379860916
2025/5/16,US,452271,-0.906765028
2025/5/17,CN,28,2.996772111
2025/5/17,UK,69203,-0.409063032
2025/5/17,US,298574,-1.641525986
2025/5/18,CN,11,2.724257398
2025/5/18,UK,59860,0.302105576
2025/5/18,US,233550,-1.301677743
2025/5/19,CN,101,3.344006818
2025/5/19,UK,119780,0.196688052
2025/5/19,US,409639,-0.966888626
2025/5/2,CN,42,-1.17839268
2025/5/2,UK,132236,-0.110778986
2025/5/2,US,498300,-0.792973794
2025/5/20,CN,65,0.926269933
2025/5/20,UK,109207,-0.629435096
2025/5/20,US,484925,-0.991010921
2025/5/21,CN,120,3.62143809
2025/5/21,UK,107305,-0.579990495
2025/5/21,US,518413,-0.894883717
2025/5/22,CN,75,0.729805482
2025/5/22,UK,105631,-0.349184742
2025/5/22,US,549370,-1.319549447
2025/5/23,CN,62,0.595290447
2025/5/23,UK,92874,-0.222351595
2025/5/23,US,484788,-1.141568081
2025/5/24,CN,26,0.897690235
2025/5/24,UK,56956,-0.321788436
2025/5/24,US,266896,-0.962221423
2025/5/25,CN,51,2.096531807
2025/5/25,UK,53796,0.113027745
2025/5/25,US,209334,-1.025289636
2025/5/26,CN,51,1.067329334
2025/5/26,UK,71927,-0.075661359
2025/5/26,US,274698,-0.885296342
2025/5/27,CN,97,-0.57218198
2025/5/27,UK,94024,-0.29369038
2025/5/27,US,410030,-0.735985715
2025/5/28,CN,49,1.584002727
2025/5/28,UK,94215,-0.489226486
2025/5/28,US,440398,-0.696575066
2025/5/29,CN,40,-0.692632916
2025/5/29,UK,86277,-0.567636769
2025/5/29,US,499396,-0.929967081
2025/5/3,CN,28,-3.672169159
2025/5/3,UK,83233,0.309987205
